quest_id,trigger_type,line_order,speaker,dialogue
TUT_LOGI_013,on_start,2,SCAII,"컨베이어를 선택해주세요."
TUT_LOGI_013,on_complete,1,SCAII,"컨베이어 선택을 확인했습니다."
TUT_LOGI_013,on_complete,2,SCAII,"이제 제련기와 창고 포트를 연결해주세요."
TUT_LOGI_014,on_start,1,SCAII,"제련기 출력 포트에서 창고 포트까지 컨베이어를 연결해주세요."
TUT_LOGI_014,on_start,2,SCAII,"연결이 완료되면 철 주괴가 자동으로 이동합니다."
TUT_LOGI_014,on_complete,1,SCAII,"결과물 회수 경로를 확인했습니다."
TUT_LOGI_014,on_complete,2,SCAII,"이제 철 주괴가 창고에 저장되는지 확인하겠습니다."
TUT_LOGI_015,on_start,1,SCAII,"생산된 철 주괴가 창고에 저장되는지 확인해주세요."
TUT_LOGI_015,on_start,2,SCAII,"이후부터는 이 생산 라인을 계속 확장할 수 있습니다."
TUT_LOGI_015,on_complete,1,SCAII,"철 주괴 저장을 확인했습니다."
TUT_LOGI_015,on_complete,2,SCAII,"이제 생산 라인을 확장하겠습니다."
TUT_EXPAND_001,on_start,1,SCAII,"제련기로 철 주괴 10개를 생산해주세요."
TUT_EXPAND_001,on_start,2,SCAII,"기초 생산 라인의 안정성을 확인하겠습니다."
TUT_EXPAND_001,on_complete,1,SCAII,"기초 생산 라인이 안정적으로 작동하고 있습니다."
TUT_EXPAND_001,on_complete,2,SCAII,"이제 전력 설비를 확장하겠습니다."
TUT_EXPAND_002,on_start,1,SCAII,"향후 설비 확장을 위해 전력 여유를 확보하겠습니다."
TUT_EXPAND_002,on_start,2,SCAII,"발전소 1기를 추가 설치해주세요."
TUT_EXPAND_002,on_complete,1,SCAII,"추가 발전소를 확인했습니다."
TUT_EXPAND_002,on_complete,2,SCAII,"송전 범위도 함께 확장하겠습니다."
TUT_EXPAND_003,on_start,1,SCAII,"전력 범위를 넓혀 추가 설비를 수용하겠습니다."
TUT_EXPAND_003,on_start,2,SCAII,"송전탑 1기를 추가 설치해주세요."
TUT_EXPAND_003,on_complete,1,SCAII,"추가 송전탑을 확인했습니다."
TUT_EXPAND_003,on_complete,2,SCAII,"확장 설비까지 전력을 연결해주세요."
TUT_EXPAND_004,on_start,1,SCAII,"추가 설비까지 전력을 연결해주세요."
TUT_EXPAND_004,on_start,2,SCAII,"전력망 확장 상태를 확인하겠습니다."
TUT_EXPAND_004,on_complete,1,SCAII,"전력망 확장을 확인했습니다."
TUT_EXPAND_004,on_complete,2,SCAII,"더 큰 설비도 운용할 수 있습니다."
TUT_EXPAND_005,on_start,1,SCAII,"생산량 증대를 위해 채굴 설비를 확장해주세요."
TUT_EXPAND_005,on_start,2,SCAII,"채굴기 1기를 추가 설치해주세요."
TUT_EXPAND_005,on_complete,1,SCAII,"추가 채굴기를 확인했습니다."
TUT_EXPAND_005,on_complete,2,SCAII,"가공 속도도 함께 맞추겠습니다."
TUT_EXPAND_006,on_start,1,SCAII,"가공 속도를 맞추기 위해 제련 설비도 확장하겠습니다."
TUT_EXPAND_006,on_start,2,SCAII,"제련기 1기를 추가 설치해주세요."
TUT_EXPAND_006,on_complete,1,SCAII,"추가 제련기를 확인했습니다."
TUT_EXPAND_006,on_complete,2,SCAII,"이제 자동 생산 라인을 완성하겠습니다."
TUT_EXPAND_007,on_start,1,SCAII,"자동 생산 라인 1개를 추가로 완성해주세요."
TUT_EXPAND_007,on_start,2,SCAII,"수작업 의존도를 줄이는 단계입니다."
TUT_EXPAND_007,on_complete,1,SCAII,"좋습니다."
TUT_EXPAND_007,on_complete,2,SCAII,"이제 수작업 의존도가 크게 줄어들었습니다."
TUT_EXPAND_008,on_start,1,SCAII,"통신 복구 설비 건설에는 더 많은 자원이 필요합니다."
TUT_EXPAND_008,on_start,2,SCAII,"철 광석을 누적 50개 생산해주세요."
TUT_EXPAND_008,on_complete,1,SCAII,"철 광석 생산량이 충분한 수준에 도달했습니다."
TUT_EXPAND_008,on_complete,2,SCAII,"이제 제련 자재를 확보하겠습니다."
TUT_EXPAND_009,on_start,1,SCAII,"철 주괴를 누적 30개 생산해주세요."
TUT_EXPAND_009,on_start,2,SCAII,"통신탑 건설을 위한 기초 자재를 확보하는 단계입니다."
TUT_EXPAND_009,on_complete,1,SCAII,"기초 자재 확보가 충분한 수준에 도달했습니다."
TUT_EXPAND_009,on_complete,2,SCAII,"이제 통신 복구를 시작하겠습니다."
TUT_COMM_001,on_start,1,SCAII,"이제 생존 단계를 넘어 통신 복구를 시작하겠습니다."
TUT_COMM_001,on_start,2,SCAII,"통신탑 건설 재료를 확보해주세요."
TUT_COMM_001,on_complete,1,SCAII,"재료 확보를 확인했습니다."
TUT_COMM_001,on_complete,2,SCAII,"이제 통신탑을 설치해주세요."
TUT_COMM_002,on_start,1,SCAII,"통신탑은 위성 내 통신 복구의 핵심 설비입니다."
TUT_COMM_002,on_start,2,SCAII,"설치를 진행해주세요."
TUT_COMM_002,on_complete,1,SCAII,"통신탑 설치를 확인했습니다."
TUT_COMM_002,on_complete,2,SCAII,"이제 전력을 공급하겠습니다."
TUT_COMM_003,on_start,1,SCAII,"통신 설비 역시 안정적인 전력 공급이 필요합니다."
TUT_COMM_003,on_start,2,SCAII,"통신탑에 전력을 연결해주세요."
TUT_COMM_003,on_complete,1,SCAII,"통신탑 전력 연결을 확인했습니다."
TUT_COMM_003,on_complete,2,SCAII,"복구 상태를 점검하겠습니다."
TUT_COMM_004,on_start,1,SCAII,"위성 내 통신 복구 여부를 확인하겠습니다."
TUT_COMM_004,on_start,2,SCAII,"복구 상태를 점검해주세요."
TUT_COMM_004,on_complete,1,SCAII,"위성 내 통신 환경 복구를 확인했습니다."
TUT_COMM_004,on_complete,2,SCAII,"생존자 신호 탐지가 가능해졌습니다."
TUT_SIGNAL_001,on_start,1,SCAII,"현재 출력으로는 지구까지 신호가 도달하지 않습니다."
TUT_SIGNAL_001,on_start,2,SCAII,"신호 증폭기 건설 재료를 확보해주세요."
TUT_SIGNAL_001,on_complete,1,SCAII,"재료 확보를 확인했습니다."
TUT_SIGNAL_001,on_complete,2,SCAII,"이제 신호 증폭기를 설치해주세요."
TUT_SIGNAL_002,on_start,1,SCAII,"신호 증폭기 설치를 진행해주세요."
TUT_SIGNAL_002,on_start,2,SCAII,"장거리 통신 복구에 필요한 핵심 단계입니다."
TUT_SIGNAL_002,on_complete,1,SCAII,"신호 증폭기 설치를 확인했습니다."
TUT_SIGNAL_002,on_complete,2,SCAII,"출력 상승 여부를 점검하겠습니다."
TUT_SIGNAL_003,on_start,1,SCAII,"통신 출력이 상승했는지 확인해주세요."
TUT_SIGNAL_003,on_start,2,SCAII,"신호 강도를 점검하겠습니다."
TUT_SIGNAL_003,on_complete,1,SCAII,"좋습니다."
TUT_SIGNAL_003,on_complete,2,SCAII,"신호 강도가 상승하고 있습니다."
TUT_SIGNAL_004,on_start,1,SCAII,"이제 지구와의 장거리 통신 복구를 시도할 수 있습니다."
TUT_SIGNAL_004,on_start,2,SCAII,"최종 목표를 해금해주세요."
TUT_SIGNAL_004,on_complete,1,SCAII,"지구 통신 복구 목표가 활성화되었습니다."
TUT_SIGNAL_004,on_complete,2,SCAII,"이제 본격적인 구조 요청을 준비하겠습니다."
