rowname,form,substance,type,shape,DIsplayName,VisualColor,ImgAsset,StaticMeshAsset
gold_ore,solid,gold,metal,ore,금광석,"(R=0.71,G=0.58,B=0.14,A=1.0)",/Game/Assets/UIImg/Resource/gold_ore.gold_ore,/Game/Assets/Ore/gold/SM_gold_ore.SM_gold_ore
gold_ingot,solid,gold,metal,ingot,금괴,"(R=0.94,G=0.79,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/gold_ingot.gold_ingot,/Game/Assets/Ingot/gold/SM_gold_ingot.SM_gold_ingot
gold_powder,solid,gold,metal,powder,금가루,"(R=0.88,G=0.73,B=0.16,A=1.0)",/Game/Assets/UIImg/Resource/gold_powder.gold_powder,
silver_ore,solid,silver,metal,ore,은광석,"(R=0.56,G=0.59,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/silver_ore.silver_ore,
silver_ingot,solid,silver,metal,ingot,은괴,"(R=0.85,G=0.87,B=0.91,A=1.0)",/Game/Assets/UIImg/Resource/silver_ingot.silver_ingot,
silver_powder,solid,silver,metal,powder,은가루,"(R=0.77,G=0.79,B=0.83,A=1.0)",/Game/Assets/UIImg/Resource/silver_powder.silver_powder,
uranium,solid,uranium,metal,,우라늄,"(R=0.38,G=0.96,B=0.22,A=1.0)",/Game/Assets/UIImg/Resource/uranium.uranium,
sulfur_ore,solid,sulfur,nonmetal,ore,황광석,"(R=0.93,G=0.82,B=0.15,A=1.0)",/Game/Assets/UIImg/Resource/sulfur_ore.sulfur_ore,
sulfur_powder,solid,sulfur,nonmetal,powder,황가루,"(R=0.96,G=0.86,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/sulfur_powder.sulfur_powder,
sand,solid,sand,nonmetal,powder,모래,"(R=0.82,G=0.74,B=0.55,A=1.0)",/Game/Assets/UIImg/Resource/sand.sand,
glass,solid,glass,nonmetal,,유리,"(R=0.70,G=0.88,B=0.90,A=0.70)",/Game/Assets/UIImg/Resource/glass.glass,
water,liquid,water,,,물,"(R=0.275,G=0.588,B=1.0,A=0.35)",/Game/Assets/UIImg/Resource/water.water,
waste_water,liquid,wastewater,,,폐수,"(R=0.431,G=0.49,B=0.275,A=0.55)",/Game/Assets/UIImg/Resource/waste_water.waste_water,
acid,liquid,acid,,,산,"(R=0.471,G=1.0,B=0.431,A=0.28)",/Game/Assets/UIImg/Resource/acid.acid,
petrolium,liquid,petrolium,fuel,,석유,"(R=0.176,G=0.149,B=0.118,A=0.72)",/Game/Assets/UIImg/Resource/petroleum.petroleum,
mercury,liquid,mercury,metal,,수은,"(R=0.706,G=0.765,B=0.824,A=0.82)",/Game/Assets/UIImg/Resource/mercury.mercury,
oxygen,gas,oxygen,,,산소,"(R=0.61,G=0.84,B=1.0,A=0.35)",/Game/Assets/UIImg/Resource/oxygen.oxygen,
hydrogen,gas,hydrogen,,,수소,"(R=0.88,G=0.97,B=1.0,A=0.25)",/Game/Assets/UIImg/Resource/hydrogen.hydrogen,
nitrogen,gas,nitrogen,,,질소,"(R=0.40,G=0.62,B=0.95,A=0.35)",/Game/Assets/UIImg/Resource/nitorgen.nitorgen,
helium,gas,helium,,,헬륨,"(R=0.95,G=0.73,B=0.88,A=0.30)",/Game/Assets/UIImg/Resource/helium.helium,
iron_bar,solid,iron,metal,bar,철근,"(R=0.46,G=0.48,B=0.52,A=1.0)",/Game/Assets/UIImg/Resource/rebar.rebar,/Game/Assets/Resource/Bar/SM_Bar.SM_Bar
copper_wire,solid,copper,metal,wire,구리선,"(R=0.87,G=0.50,B=0.22,A=1.0)",/Game/Assets/UIImg/Resource/copperwire.copperwire,/Game/Assets/Resource/Wire/SM_wire.SM_wire
tin_plate,solid,tin ,metal,plate,주석판,"(R=0.75,G=0.79,B=0.84,A=1.0)",/Game/Assets/UIImg/Resource/tinboard.tinboard,/Game/Assets/Resource/Plate/SM_plate.SM_plate
TeleCommunicationTower,solid,telecommunication,machine,,통신탑,"(R=0.55,G=0.82,B=1.0,A=1.0)",/Game/Assets/UIImg/etc/telecommunicationtower.telecommunicationtower,
